"","apply(Filter_perClass, 1, mean)"
"V443",0.572374131944444
"V444",0.595052083333333
"V445",0.609447337962963
"V446",0.635398582175926
"V447",0.625795717592593
"V448",0.625795717592593
"V449",0.606915509259259
"V450",0.621202256944444
"V451",0.602014612268518
"V452",0.587131076388889
"V453",0.568576388888889
"V454",0.622468171296296
"V455",0.618706597222222
"V456",0.627495659722222
"V457",0.637261284722222
"V458",0.584056712962963
"V459",0.62622974537037
"V460",0.622178819444444
"V461",0.61646412037037
"V462",0.65357349537037
"V463",0.652922453703704
"V464",0.671440972222222
"V465",0.6591796875
"V466",0.665400752314815
"V467",0.651511863425926
"V468",0.632450810185185
"V469",0.647171585648148
"V470",0.548900462962963
"V471",0.586281105324074
"V472",0.642469618055556
"V473",0.618272569444444
"V474",0.643048321759259
"V475",0.666413483796296
"V476",0.623878761574074
"V477",0.666051793981482
"V478",0.666051793981482
"V479",0.677155671296296
"V480",0.660662615740741
"V481",0.65625
"V482",0.651765046296296
"V483",0.665943287037037
"V484",0.6513671875
"V485",0.667064525462963
"V486",0.66015625
"V487",0.695421006944444
"V488",0.675383391203704
"V489",0.661458333333333
"V490",0.648980034722222
"V491",0.58275462962963
"V492",0.57298900462963
"V493",0.599518952546296
"V494",0.62474681712963
"V495",0.593460648148148
"V496",0.615596064814815
"V497",0.580584490740741
"V498",0.579571759259259
"V499",0.596390335648148
"V500",0.598524305555556
"V501",0.599645543981482
"V502",0.595920138888889
"V503",0.576750578703704
"V504",0.597620081018518
"V505",0.599247685185185
"V506",0.578993055555555
"V507",0.595920138888889
"V508",0.599247685185185
"V509",0.604311342592593
"V510",0.608796296296296
"V511",0.609953703703704
"V512",0.614438657407407
"V513",0.618923611111111
"V514",0.580439814814815
"V515",0.594762731481482
"V516",0.608796296296296
"V517",0.617060908564815
"V518",0.617693865740741
"V519",0.552282262731482
"V520",0.546440972222222
"V521",0.530707465277778
"V522",0.517379195601852
"V523",0.52734375
"V524",0.538483796296296
"V525",0.529296875
"V526",0.53515625
"V527",0.559063946759259
"V528",0.559063946759259
"V529",0.544994212962963
"V530",0.536892361111111
"V531",0.509548611111111
"V532",0.521990740740741
"V533",0.548177083333333
"V534",0.546875
"V535",0.556423611111111
"V536",0.572952835648148
"V537",0.534866898148148
"V538",0.55005787037037
"V539",0.546911168981482
"V540",0.564742476851852
"V541",0.568504050925926
"V542",0.568504050925926
"V543",0.582971643518518
"V544",0.573206018518518
"V545",0.5615234375
"V546",0.548231336805556
"V547",0.573676215277778
"V548",0.534143518518518
"V549",0.611346209490741
"V550",0.589409722222222
"V551",0.549244068287037
"V552",0.5576171875
"V553",0.556604456018518
"V554",0.543113425925926
"V555",0.556604456018518
"V556",0.561487268518518
"V557",0.553096064814815
"V558",0.552119502314815
"V559",0.555627893518518
"V560",0.543872974537037
"V561",0.559678819444444
"V562",0.527687355324074
"V563",0.515552662037037
"V564",0.525752314814815
"V565",0.527777777777778
"V566",0.590530960648148
"V567",0.554705584490741
"V568",0.554705584490741
"V569",0.585485387731482
"V570",0.558503327546296
"V571",0.537037037037037
"V572",0.535753038194444
"V573",0.549768518518518
"V574",0.557146990740741
"V575",0.562789351851852
"V576",0.54296875
"V577",0.557146990740741
"V578",0.562210648148148
"V579",0.556568287037037
"V580",0.551938657407407
"V581",0.591869212962963
"V582",0.584635416666667
"V583",0.569444444444444
"V584",0.556568287037037
"V585",0.552951388888889
"V586",0.539641203703704
"V587",0.581669560185185
"V588",0.560619212962963
"V589",0.569299768518518
"V590",0.561921296296296
"V591",0.544578269675926
"V592",0.557074652777778
"V593",0.529242621527778
"V594",0.549189814814815
"V595",0.560149016203704
"V596",0.572627314814815
"V597",0.593225549768518
"V598",0.593605324074074
"V599",0.62109375
"V600",0.623553240740741
"V601",0.62037037037037
"V602",0.609953703703704
"V603",0.589572482638889
"V604",0.587528935185185
"V605",0.587384259259259
"V606",0.597873263888889
"V607",0.60132740162037
"V608",0.609718605324074
"V609",0.635416666666667
"V610",0.635416666666667
"V611",0.653862847222222
"V612",0.658420138888889
"V613",0.638599537037037
"V614",0.628761574074074
"V615",0.558304398148148
"V616",0.564995659722222
"V617",0.560836226851852
"V618",0.564905237268518
"V619",0.590313946759259
"V620",0.604890046296296
"V621",0.620189525462963
"V622",0.634548611111111
"V623",0.633174189814815
"V624",0.638816550925926
"V625",0.541666666666667
"V626",0.530815972222222
"V627",0.532045717592593
"V628",0.530815972222222
"V629",0.534215856481482
"V630",0.504701967592593
"V631",0.529296875
"V632",0.506130642361111
"V633",0.515046296296296
"V634",0.507269965277778
"V635",0.519929108796296
"V636",0.537434895833333
"V637",0.545247395833333
"V638",0.567563657407407
"V639",0.552734375
"V640",0.545970775462963
"V641",0.568576388888889
"V642",0.552155671296296
"V643",0.537905092592593
"V644",0.52662037037037
"V645",0.529405381944444
"V646",0.569896556712963
"V647",0.540653935185185
"V648",0.53515625
"V649",0.537760416666667
"V650",0.555483217592593
"V651",0.557291666666667
"V652",0.52734375
"V653",0.551396122685185
"V654",0.547092013888889
"V655",0.594618055555556
"V656",0.577582465277778
"V657",0.635706018518518
"V658",0.67162181712963
"V659",0.635525173611111
"V660",0.628815827546296
"V661",0.625578703703704
"V662",0.625578703703704
"V663",0.624710648148148
"V664",0.65697337962963
"V665",0.648292824074074
"V666",0.657262731481481
"V667",0.666377314814815
"V668",0.683883101851852
"V669",0.688368055555556
"V670",0.704571759259259
"V671",0.697193287037037
"V672",0.712962962962963
"V673",0.728732638888889
"V674",0.731481481481482
"V675",0.726996527777778
"V676",0.705729166666667
"V677",0.70630787037037
"V678",0.674768518518518
"V679",0.692853009259259
"V680",0.700810185185185
"V681",0.677662037037037
"V682",0.673611111111111
"V683",0.643518518518518
"V684",0.65697337962963
"V685",0.674913194444444
"V686",0.674913194444444
"V687",0.677951388888889
"V688",0.669270833333333
"V689",0.660590277777778
"V690",0.664930555555556
"V691",0.669994212962963
"V692",0.6953125
"V693",0.713252314814815
"V694",0.699797453703704
"V695",0.710503472222222
"V696",0.720341435185185
"V697",0.698640046296296
"V698",0.699363425925926
"V699",0.689380787037037
"V700",0.659722222222222
"V701",0.655815972222222
"V702",0.647424768518519
"V703",0.642939814814815
"V704",0.634982638888889
"V705",0.635416666666667
"V706",0.618055555555556
"V707",0.600405092592593
"V708",0.60865162037037
"V709",0.61939380787037
"V710",0.586769386574074
"V711",0.591435185185185
"V712",0.592592592592593
"V713",0.594889322916667
"V714",0.56080005787037
"V715",0.593171296296296
"V716",0.61986400462963
"V717",0.59912109375
"V718",0.603660300925926
"V719",0.577690972222222
"V720",0.55736400462963
"V721",0.553602430555556
"V722",0.587962962962963
"V723",0.565899884259259
"V724",0.522008825231482
"V725",0.519748263888889
"V726",0.539496527777778
"V727",0.557725694444444
"V728",0.533420138888889
"V729",0.535825376157407
"V730",0.535825376157407
"V731",0.607512297453704
"V732",0.576750578703704
"V733",0.60228587962963
"V734",0.627839265046296
"V735",0.588107638888889
"V736",0.603587962962963
"V737",0.603587962962963
"V738",0.603732638888889
"V739",0.603732638888889
"V740",0.610026041666667
"V741",0.617693865740741
"V742",0.623372395833333
"V743",0.630750868055556
"V744",0.652922453703704
"V745",0.665491174768518
"V746",0.665491174768518
"V747",0.663917824074074
"V748",0.649450231481482
"V749",0.611617476851852
"V750",0.628399884259259
"V751",0.637261284722222
"V752",0.634150752314815
"V753",0.606734664351852
"V754",0.589409722222222
"V755",0.656611689814815
"V756",0.65234375
"V757",0.649305555555556
"V758",0.654730902777778
"V759",0.676685474537037
"V760",0.662868923611111
"V761",0.528645833333333
"V762",0.517505787037037
"V763",0.603443287037037
"V764",0.598234953703704
"V765",0.60474537037037
"V766",0.647623697916667
"V767",0.642541956018518
"V768",0.628399884259259
"V769",0.647894965277778
"V770",0.652777777777778
"V771",0.644097222222222
"V772",0.668077256944444
"V773",0.687047887731482
"V774",0.650860821759259
"V775",0.593297887731482
"V776",0.617567274305556
"V777",0.609248408564815
"V778",0.57349537037037
"V779",0.565972222222222
"V780",0.577727141203704
"V781",0.57349537037037
"V782",0.565972222222222
"V783",0.619665075231482
"V784",0.586516203703704
"V785",0.564652054398148
"V786",0.569010416666667
"V787",0.557345920138889
"V788",0.561903211805556
"V789",0.590350115740741
"V790",0.603732638888889
"V791",0.633246527777778
"V792",0.647280092592593
"V793",0.63353587962963
"V794",0.617621527777778
"V795",0.63208912037037
"V796",0.623951099537037
"V797",0.6240234375
"V798",0.62109375
"V799",0.633427372685185
"V800",0.630497685185185
"V801",0.634982638888889
"V802",0.642939814814815
"V803",0.628616898148148
"V804",0.636863425925926
"V805",0.632378472222222
"V806",0.616753472222222
"V807",0.641493055555555
"V808",0.62109375
"V809",0.646122685185185
"V810",0.630353009259259
"V811",0.609809027777778
"V812",0.609519675925926
"V813",0.630642361111111
"V814",0.618543836805556
"V815",0.65306712962963
"V816",0.637731481481482
"V817",0.6328125
"V818",0.657407407407407
"V819",0.686107494212963
"V820",0.67259837962963
"V821",0.654079861111111
"V822",0.651041666666667
"V823",0.657118055555556
"V824",0.6484375
"V825",0.624855324074074
"V826",0.654513888888889
"V827",0.624565972222222
"V828",0.626880787037037
"V829",0.657552083333333
"V830",0.665943287037037
"V831",0.665943287037037
"V832",0.687210648148148
"V833",0.689525462962963
"V834",0.686921296296296
"V835",0.694444444444444
"V836",0.689236111111111
"V837",0.681712962962963
"V838",0.705729166666667
"V839",0.683015046296296
"V840",0.708188657407407
"V841",0.708478009259259
"V842",0.695023148148148
"V843",0.710648148148148
"V844",0.70775462962963
"V845",0.703414351851852
"V846",0.705729166666667
"V847",0.7109375
"V848",0.710503472222222
"V849",0.720920138888889
"V850",0.735966435185185
"V851",0.720486111111111
"V852",0.730758101851852
"V853",0.743778935185185
"V854",0.736545138888889
"V855",0.746672453703704
"V856",0.734230324074074
"V857",0.71166087962963
"V858",0.711950231481482
"V859",0.703703703703704
"V860",0.685329861111111
"V861",0.695457175925926
"V862",0.705295138888889
"V863",0.682291666666667
"V864",0.701967592592593
"V865",0.686053240740741
"V866",0.662326388888889
"V867",0.672164351851852
"V868",0.647858796296296
"V869",0.670428240740741
"V870",0.640625
"V871",0.674768518518518
"V872",0.611545138888889
"V873",0.654658564814815
"V874",0.667390046296296
"V875",0.667390046296296
"V876",0.637586805555555
"V877",0.613136574074074
"V878",0.62181712962963
"V879",0.618923611111111
"V880",0.621238425925926
"V881",0.623842592592593
"V882",0.613425925925926
"V883",0.622540509259259
"V884",0.632667824074074
"V885",0.640335648148148
"V886",0.623914930555555
"V887",0.585358796296296
"V888",0.623914930555555
"V889",0.656467013888889
"V890",0.622540509259259
"V891",0.617874710648148
"V892",0.625831886574074
"V893",0.648365162037037
"V894",0.639702690972222
"V895",0.622540509259259
"V896",0.647135416666667
"V897",0.581597222222222
"V898",0.559895833333333
"V899",0.562934027777778
"V900",0.549913194444444
"V901",0.54857494212963
"V902",0.533854166666667
"V903",0.526331018518518
"V904",0.526331018518518
"V905",0.531213831018518
"V906",0.513310185185185
"V907",0.52025462962963
"V908",0.526765046296296
"V909",0.543402777777778
"V910",0.534577546296296
"V911",0.565393518518519
"V912",0.536458333333333
"V913",0.549262152777778
"V914",0.536838107638889
"V915",0.548900462962963
"V916",0.567310474537037
"V917",0.592845775462963
"V918",0.569299768518518
"V919",0.568160445601852
"V920",0.53685619212963
"V921",0.536603009259259
"V922",0.542100694444444
"V923",0.56080005787037
"V924",0.546585648148148
"V925",0.52220775462963
"V926",0.5361328125
"V927",0.546911168981482
"V928",0.534866898148148
"V929",0.545428240740741
"V930",0.543113425925926
"V931",0.535517939814815
"V932",0.548285590277778
"V933",0.55638744212963
"V934",0.533275462962963
"V935",0.533564814814815
"V936",0.543981481481482
"V937",0.558159722222222
"V938",0.54662181712963
"V939",0.548321759259259
"V940",0.548321759259259
"V941",0.557725694444444
"V942",0.565827546296296
"V943",0.575231481481482
"V944",0.565972222222222
"V945",0.548611111111111
"V946",0.537471064814815
"V947",0.550925925925926
"V948",0.550925925925926
"V949",0.538628472222222
"V950",0.537471064814815
"V951",0.545572916666667
"V952",0.575231481481482
"V953",0.540509259259259
"V954",0.577763310185185
"V955",0.548285590277778
"V956",0.539930555555556
"V957",0.534577546296296
"V958",0.544542100694444
"V959",0.567889178240741
"V960",0.576533564814815
"V961",0.589048032407407
"V962",0.547887731481482
"V963",0.540111400462963
"V964",0.536711516203704
"V965",0.561017071759259
"V966",0.546802662037037
"V967",0.558268229166667
"V968",0.552445023148148
"V969",0.561885127314815
"V970",0.553530092592593
"V971",0.555844907407407
"V972",0.555555555555556
"V973",0.549768518518518
"V974",0.564597800925926
"V975",0.5556640625
"V976",0.526945891203704
"V977",0.60279224537037
"V978",0.516782407407407
"V979",0.519422743055556
"V980",0.529875578703704
"V981",0.541919849537037
"V982",0.540708188657407
"V983",0.552463107638889
"V984",0.596064814814815
"V985",0.521213107638889
"V986",0.588758680555556
"V987",0.535771122685185
"V988",0.539514612268518
"V989",0.554072627314815
"V990",0.53125
"V991",0.554072627314815
"V992",0.550383391203704
"V993",0.561613859953704
"V994",0.574110243055556
"V995",0.583839699074074
"V996",0.554578993055556
"V997",0.552951388888889
"V998",0.560004340277778
"V999",0.675564236111111
"V1000",0.717447916666667
"V1001",0.712275752314815
"V1002",0.713252314814815
"V1003",0.697771990740741
"V1004",0.686053240740741
"V1005",0.700882523148148
"V1006",0.6630859375
"V1007",0.6552734375
"V1008",0.648075810185185
"V1009",0.650607638888889
"V1010",0.582609953703704
"V1011",0.54759837962963
"V1012",0.586009837962963
"V1013",0.632197627314815
"V1014",0.62622974537037
"V1015",0.646267361111111
"V1016",0.661892361111111
"V1017",0.661024305555556
"V1018",0.638491030092593
"V1019",0.641131365740741
"V1020",0.625994646990741
"V1021",0.619574652777778
"V1022",0.638491030092593
"V1023",0.670283564814815
"V1024",0.632776331018518
"V1025",0.654658564814815
"V1026",0.668402777777778
"V1027",0.699905960648148
"V1028",0.674840856481482
"V1029",0.661928530092593
"V1030",0.623480902777778
"V1031",0.624891493055556
"V1032",0.646303530092593
"V1033",0.656720196759259
"V1034",0.641474971064815
"V1035",0.662887008101852
"V1036",0.658004195601852
"V1037",0.64183666087963
"V1038",0.617151331018518
"V1039",0.597348813657407
"V1040",0.608597366898148
"V1041",0.640643084490741
"V1042",0.64527271412037
"V1043",0.638870804398148
"V1044",0.640335648148148
"V1045",0.611346209490741
"V1046",0.610894097222222
"V1047",0.610894097222222
"V1048",0.624457465277778
"V1049",0.63720703125
"V1050",0.651186342592593
"V1051",0.679723668981482
"V1052",0.646412037037037
"V1053",0.618778935185185
"V1054",0.658383969907407
"V1055",0.614529079861111
"V1056",0.66626880787037
"V1057",0.638834635416667
"V1058",0.674768518518518
"V1059",0.643229166666667
"V1060",0.662615740740741
"V1061",0.662326388888889
"V1062",0.67259837962963
"V1063",0.674479166666667
"V1064",0.637586805555555
"V1065",0.644205729166667
"V1066",0.652904369212963
"V1067",0.62377025462963
"V1068",0.622450086805556
"V1069",0.648781105324074
"V1070",0.615668402777778
"V1071",0.603551793981482
"V1072",0.625180844907407
"V1073",0.586877893518518
"V1074",0.587203414351852
"V1075",0.604600694444444
"V1076",0.600405092592593
"V1077",0.601906105324074
"V1078",0.592502170138889
"V1079",0.596354166666667
"V1080",0.562445746527778
"V1081",0.553204571759259
"V1082",0.583188657407407
"V1083",0.593804253472222
"V1084",0.599030671296296
"V1085",0.6162109375
"V1086",0.623155381944444
"V1087",0.608940972222222
"V1088",0.626302083333333
"V1089",0.629701967592593
"V1090",0.652560763888889
"V1091",0.660734953703704
"V1092",0.683521412037037
"V1093",0.644223813657407
"V1094",0.622377748842593
"V1095",0.604040075231482
"V1096",0.574851707175926
"V1097",0.5498046875
"V1098",0.555555555555556
"V1099",0.541377314814815
"V1100",0.541377314814815
"V1101",0.558159722222222
"V1102",0.579716435185185
"V1103",0.580765335648148
"V1104",0.631365740740741
"V1105",0.609194155092593
"V1106",0.619936342592593
"V1107",0.625904224537037
"V1108",0.616500289351852
"V1109",0.625434027777778
"V1110",0.615993923611111
"V1111",0.62962962962963
"V1112",0.624782986111111
"V1113",0.633391203703704
"V1114",0.604890046296296
"V1115",0.619068287037037
"V1116",0.605432581018518
"V1117",0.594925491898148
"V1118",0.590856481481482
"V1119",0.555555555555556
"V1120",0.547887731481482
"V1121",0.559950086805555
"V1122",0.56763599537037
"V1123",0.559950086805555
"V1124",0.569697627314815
"V1125",0.569697627314815
"V1126",0.585286458333333
"V1127",0.595377604166667
"V1128",0.569950810185185
"V1129",0.593098958333333
"V1130",0.585051359953704
"V1131",0.577962239583333
"V1132",0.577962239583333
"V1133",0.581868489583333
"V1134",0.573676215277778
"V1135",0.577980324074074
"V1136",0.579752604166667
"V1137",0.580439814814815
"V1138",0.580005787037037
"V1139",0.575086805555556
"V1140",0.565972222222222
"V1141",0.577112268518518
"V1142",0.592592592592593
"V1143",0.5859375
"V1144",0.597222222222222
"V1145",0.588975694444444
"V1146",0.584490740740741
"V1147",0.591290509259259
"V1148",0.586950231481482
"V1149",0.601273148148148
"V1150",0.594328703703704
"V1151",0.599663628472222
"V1152",0.59740306712963
